energy,intensity
(keV),(#/keV mAs µsr)
10,1.75498e-07
10.65,1.66478e-06
11.3,1.69041e-05
11.95,0.000201976
12.6,0.00203737
13.25,0.018732
13.9,0.161278
14.55,0.887178
15.2,3.94519
15.85,13.4451
16.5,36.9697
17.15,90.2555
17.8,187.647
18.45,349.767
19.1,608.04
19.75,955.57
20.4,1419.61
21.05,2028.44
21.7,2747.87
22.35,3620.17
23,4650.93
23.65,5748.95
24.3,6992.88
24.95,8352.91
25.6,9719.05
26.25,11154.6
26.9,12616.3
27.55,14036
28.2,15484.2
28.85,16884.9
29.5,18209.6
30.15,19478.2
30.8,20633.3
31.45,21689.3
32.1,22672.6
32.75,23512.2
33.4,24265.6
34.05,24945.2
34.7,25466.6
35.35,25921.9
36,26317.7
36.65,26597.9
37.3,26830.7
37.95,27006.7
38.6,27101.7
39.25,27158.1
39.9,27165.7
40.55,27090.5
41.2,26976.2
41.85,26804.1
42.5,26573.6
43.15,26311.4
43.8,25993.8
44.45,25641.1
45.1,25265.5
45.75,24854.5
46.4,24421.4
47.05,23972.2
47.7,23496.5
48.35,23002.7
49,22496.9
49.65,21972.7
50.3,21440.4
50.95,20898
51.6,20340.8
52.25,19778.3
52.9,19208.6
53.55,18629.6
54.2,18047.6
54.85,17460.3
55.5,16868
56.15,16272.1
56.8,15672.6
57.45,15071.7
58.1,14471.7
58.75,13870.2
59.4,21317.6
60.05,12669.1
60.7,12070.9
61.35,11476.5
62,10886.4
62.65,10299
63.3,9716.16
63.95,9137.67
64.6,8562.36
65.25,7991.89
65.9,7425.9
66.55,6864.18
67.2,6307.36
67.85,5755.15
68.5,8326.29
69.15,4507.19
69.8,3434.85
70.45,2867.22
71.1,2458.49
71.75,2048.92
72.4,1639
73.05,1229.02
73.7,818.976
74.35,409.256
75,0
